;	B1	B2	B3
	129	135	142
	131	135	142
	132	131	138
	134	133	134
	135	137	133
	137	143	138
	137	144	144
	136	143	147
	136	140	144
	136	139	141
	135	140	138
	135	138	135
	133	135	131
	131	131	128
	129	125	132
	130	126	136
	132	133	140
	134	139	144
	128	132	139
	129	136	141
	130	139	143
	132	139	143
	133	136	140
	135	138	137
	138	140	136
	140	142	139
	139	145	143
	138	146	146
	136	142	144
	135	142	142
	134	143	140
	134	139	138
	133	137	136
	131	134	134
	129	130	135
	129	128	136
	130	129	137
	131	135	141
	134	135	139
	132	140	142
	132	141	145
	133	140	145
	133	139	142
	135	139	139
	138	140	138
	140	142	140
	139	143	142
	137	143	144
	135	138	143
	134	139	143
	133	140	143
	132	139	142
	131	138	141
	130	135	139
	129	132	137
	128	131	136
	129	130	134
	129	133	138
	140	138	139
	136	142	142
	135	142	146
	134	141	146
	133	140	143
	135	139	140
	137	140	139
	139	142	140
	138	141	140
	136	139	141
	134	136	142
	133	136	143
	132	138	143
	130	139	143
	129	138	143
	129	136	142
	129	134	139
	127	132	135
	127	132	132
	126	132	135
	127	134	134
	139	141	142
	137	142	145
	135	141	145
	133	139	142
	134	138	139
	136	138	137
	137	139	137
	136	139	136
	135	138	137
	134	135	137
	132	136	138
	130	138	139
	128	137	139
	127	137	140
	128	137	140
	129	134	137
	146	138	139
	144	141	138
	139	143	141
	136	142	144
	133	140	144
	130	136	141
	131	136	138
	132	136	136
	133	136	134
	132	135	133
	132	134	132
	131	132	133
	130	133	134
	128	134	135
	137	144	140
	134	143	143
	131	139	142
	127	134	139
	127	133	135
	127	133	132
	127	132	130
	132	144	139
	136	143	137
	163	198	230
	171	210	236
	176	214	244
	169	222	252
	161	208	228
	151	187	224
	161	201	234
	172	207	243
	177	212	251
	173	217	255
	168	210	247
	163	197	224
	161	196	238
	172	205	246
	178	212	255
	175	218	255
	173	214	253
	170	207	237
	159	190	221
	150	186	227
	142	174	220
	150	183	230
	161	192	240
	173	204	247
	179	215	255
	178	222	255
	178	218	254
	177	211	242
	167	208	229
	158	197	215
	149	177	196
	144	184	232
	154	195	242
	164	209	248
	170	217	255
	171	217	255
	172	214	255
	172	210	247
	166	210	239
	160	205	229
	154	196	217
	146	180	204
	146	195	237
	155	209	243
	160	212	249
	162	208	255
	165	207	252
	166	208	249
	163	210	245
	160	210	239
	157	207	231
	151	187	223
	144	171	213
	146	193	222
	151	196	228
	154	197	236
	158	200	237
	160	204	238
	161	211	240
	161	207	235
	161	198	228
	156	180	220
	150	167	211
	144	164	199
	139	154	188
	141	179	208
	144	182	216
	148	188	222
	151	196	228
	154	203	235
	156	199	231
	158	191	224
	155	180	217
	152	172	209
	149	169	202
	146	163	194
	144	156	186
	137	176	207
	140	184	219
	144	188	230
	149	189	227
	153	188	220
	153	185	214
	153	182	208
	153	179	204
	153	176	201
	153	173	197
	153	171	194
	130	168	204
	136	177	215
	141	181	216
	147	184	215
	150	190	214
	154	190	212
	157	186	211
	160	188	210
	162	189	209
	165	189	209
	167	194	209
	169	202	209
	132	165	200
	137	172	205
	143	179	209
	147	188	215
	152	191	218
	157	189	218
	161	194	219
	166	199	221
	170	202	224
	174	210	228
	178	221	231
	182	219	230
	137	160	195
	141	168	205
	144	176	217
	147	181	222
	151	185	225
	156	191	228
	160	198	233
	164	207	240
	169	214	247
	175	220	254
	181	229	253
	183	232	252
	181	226	252
	138	161	205
	141	164	214
	143	171	219
	145	179	222
	150	185	226
	154	193	231
	159	202	240
	165	208	248
	172	214	255
	179	225	255
	182	230	255
	181	227	255
	180	224	250
	139	163	214
	140	173	217
	144	179	220
	148	186	226
	154	195	236
	161	200	245
	168	206	253
	177	217	255
	181	224	255
	180	225	255
	180	221	246
	136	171	211
	140	175	215
	144	181	221
	149	190	231
	156	197	241
	162	205	250
	169	216	253
	171	218	255
	140	174	213
	145	183	223
	150	193	234
	156	201	243
	136	168	206
	141	176	214
	136	165	203
	111	150	194
	111	141	203
	110	141	204
	110	148	198
	109	146	191
	111	148	180
	117	158	191
	115	156	202
	113	158	204
	111	163	200
	109	150	196
	106	143	190
	104	145	181
	105	140	173
	108	134	164
	111	122	162
	113	123	160
	118	157	191
	122	161	187
	119	167	185
	115	159	184
	112	147	183
	108	133	181
	104	129	181
	100	135	181
	103	126	181
	107	118	180
	111	123	175
	115	134	171
	118	151	166
	121	148	178
	124	148	191
	125	157	204
	126	168	212
	118	157	199
	121	156	181
	118	162	165
	115	143	162
	112	123	162
	109	118	162
	105	119	169
	101	125	182
	104	117	195
	109	116	202
	113	142	198
	118	160	193
	123	173	189
	128	165	197
	132	163	205
	132	172	214
	133	174	217
	133	175	219
	132	174	221
	132	172	219
	132	168	212
	128	164	204
	124	160	198
	108	159	237
	110	147	204
	111	137	173
	111	130	142
	110	108	140
	110	97	142
	113	119	144
	116	131	161
	119	136	185
	122	146	210
	125	161	224
	129	186	220
	131	185	216
	131	176	212
	133	165	215
	133	163	219
	132	169	222
	132	170	220
	132	169	218
	131	168	216
	131	167	212
	131	165	208
	129	164	203
	126	162	200
	124	156	202
	122	158	205
	121	164	207
	120	165	207
	120	166	207
	103	122	205
	101	126	193
	102	120	179
	103	109	163
	104	115	166
	109	127	170
	119	152	173
	129	161	187
	138	164	206
	140	181	226
	142	194	236
	145	205	230
	142	191	225
	139	174	222
	136	166	223
	134	164	224
	132	168	226
	130	167	223
	129	166	219
	130	163	216
	131	164	211
	131	167	208
	132	169	204
	132	167	205
	132	157	211
	131	160	219
	130	169	226
	128	178	229
	127	179	233
	126	173	236
	125	172	228
	123	171	219
	121	165	211
	118	163	205
	103	111	176
	101	121	183
	103	120	189
	106	116	194
	109	143	201
	116	167	209
	129	187	217
	142	194	224
	154	198	232
	155	212	241
	157	215	241
	159	206	232
	153	186	223
	146	171	218
	140	166	220
	135	167	222
	131	171	224
	127	169	225
	126	165	225
	128	157	226
	130	166	224
	132	180	221
	135	187	217
	138	183	217
	140	169	221
	139	169	225
	137	173	228
	136	176	228
	133	175	228
	131	171	228
	128	170	224
	125	168	220
	122	163	215
	118	161	209
	115	160	203
	113	151	197
	110	144	198
	107	141	209
	120	159	220
	109	108	132
	112	124	151
	114	134	177
	119	147	203
	125	163	225
	131	190	237
	138	205	249
	146	209	255
	156	213	255
	162	216	255
	160	216	253
	158	216	245
	157	214	233
	149	187	221
	142	168	215
	134	162	217
	132	166	220
	131	173	223
	129	175	228
	129	174	233
	131	170	238
	132	185	236
	134	199	233
	137	194	231
	139	185	229
	142	171	230
	141	172	230
	140	174	229
	138	173	225
	136	172	221
	133	169	218
	130	168	218
	126	165	218
	122	162	218
	119	158	211
	115	154	202
	112	145	193
	110	141	196
	107	145	210
	123	162	224
	144	185	242
	164	223	255
	184	254	255
	203	255	255
	222	255	255
	114	141	168
	120	155	184
	127	163	205
	136	180	226
	144	197	244
	154	212	253
	159	221	255
	163	225	255
	168	221	255
	169	217	255
	164	212	248
	158	206	237
	153	199	225
	144	173	214
	137	159	209
	129	159	214
	129	168	218
	130	177	223
	132	180	230
	133	182	237
	133	184	244
	134	201	244
	135	209	243
	137	191	242
	139	178	240
	141	167	237
	139	171	235
	138	172	230
	137	171	222
	134	170	214
	132	169	208
	130	167	214
	126	166	218
	123	164	223
	119	160	212
	116	154	200
	114	145	188
	112	140	193
	110	138	211
	127	164	229
	146	193	249
	166	224	255
	182	245	255
	196	255	255
	210	255	255
	214	255	255
	201	255	255
	188	238	255
	175	188	227
	155	168	188
	120	167	205
	130	179	218
	138	190	233
	148	205	249
	158	217	255
	168	224	255
	173	228	255
	174	232	255
	176	220	255
	174	210	246
	165	204	233
	157	188	222
	148	169	211
	140	146	201
	132	143	201
	123	158	209
	126	173	217
	131	183	223
	135	181	227
	136	182	231
	136	184	236
	136	187	237
	136	186	238
	137	174	240
	138	172	238
	139	174	236
	138	177	234
	136	177	231
	135	174	228
	133	174	224
	132	174	222
	130	175	224
	127	174	226
	123	172	228
	120	163	216
	117	153	202
	116	143	188
	114	142	198
	113	146	220
	131	176	242
	150	203	255
	168	226	255
	178	237	255
	185	246	255
	193	255	255
	190	251	255
	178	234	255
	165	203	255
	153	173	234
	139	158	202
	126	148	190
	112	143	193
	112	145	195
	121	181	235
	129	185	242
	137	197	251
	145	211	255
	152	215	255
	159	222	255
	166	230	255
	166	225	255
	165	217	255
	165	206	252
	160	196	235
	151	185	217
	142	166	207
	135	150	199
	129	141	190
	123	146	194
	117	158	205
	122	168	217
	127	175	223
	132	175	224
	134	177	225
	135	179	226
	136	176	230
	137	174	234
	137	172	238
	138	177	237
	138	182	235
	138	181	233
	137	180	233
	136	177	235
	135	180	237
	134	183	238
	133	187	236
	130	184	235
	125	178	233
	121	165	219
	118	153	204
	117	142	190
	116	149	207
	118	165	233
	135	193	255
	153	215	255
	171	228	255
	173	228	255
	173	226	255
	174	226	255
	167	216	255
	155	201	255
	142	178	242
	132	158	222
	126	143	202
	120	144	198
	113	152	203
	115	156	207
	117	157	211
	118	154	213
	131	179	232
	138	186	242
	145	197	250
	152	207	255
	155	214	255
	159	218	255
	163	219	255
	160	211	255
	157	201	255
	154	191	238
	146	181	220
	137	172	202
	129	153	195
	122	139	187
	118	136	180
	115	143	188
	113	154	202
	117	161	215
	122	166	223
	127	170	223
	130	173	223
	133	174	224
	135	169	227
	136	172	232
	137	180	237
	138	186	236
	139	190	234
	140	183	232
	140	180	236
	141	179	243
	141	189	251
	142	198	253
	143	204	247
	137	194	243
	129	178	237
	121	163	222
	118	153	208
	119	147	194
	120	156	217
	124	172	247
	139	201	255
	155	226	255
	171	247	255
	168	232	255
	165	217	255
	162	207	255
	154	194	245
	142	178	229
	131	157	221
	123	145	212
	121	144	203
	118	155	206
	116	167	214
	119	164	220
	121	162	225
	123	160	229
	134	170	232
	134	176	230
	141	185	240
	148	193	246
	154	201	251
	155	208	255
	157	208	255
	158	203	249
	153	195	243
	147	185	233
	142	175	220
	134	167	205
	124	161	190
	115	146	184
	109	134	178
	108	126	172
	107	135	183
	108	146	197
	113	154	212
	118	163	223
	123	173	229
	126	175	236
	131	176	239
	134	178	237
	136	184	236
	137	191	235
	139	187	236
	140	184	236
	142	179	237
	143	185	244
	145	195	254
	148	207	255
	151	210	255
	153	206	252
	144	191	242
	133	175	231
	122	161	218
	119	152	205
	122	145	191
	124	160	221
	130	180	252
	143	210	255
	157	231	255
	169	247	255
	163	224	255
	157	205	255
	151	190	244
	142	175	224
	133	159	206
	124	142	207
	119	140	208
	119	155	209
	119	172	216
	120	182	224
	123	169	233
	126	163	240
	129	161	245
	143	184	250
	157	208	255
	171	232	255
	124	164	218
	131	173	228
	137	182	239
	143	188	241
	148	193	244
	150	197	246
	151	194	241
	151	187	232
	145	180	223
	139	170	214
	133	156	202
	125	149	190
	117	143	180
	109	132	174
	106	127	169
	107	127	164
	109	136	178
	111	146	194
	116	161	210
	120	173	224
	125	184	237
	129	183	250
	132	183	254
	135	186	246
	136	188	238
	138	189	231
	139	182	236
	142	180	239
	145	182	243
	148	196	253
	151	210	255
	154	220	255
	157	217	255
	160	203	254
	147	187	237
	134	171	223
	120	157	211
	119	147	199
	123	141	188
	128	164	219
	135	190	250
	147	221	255
	158	225	255
	167	220	255
	157	203	255
	148	189	248
	139	176	233
	132	161	217
	125	149	206
	118	150	212
	116	156	218
	118	169	224
	121	172	224
	123	170	225
	127	157	227
	131	163	240
	135	178	255
	153	207	255
	170	233	255
	187	252	255
	194	255	255
	198	255	255
	122	166	222
	128	176	232
	134	185	241
	139	186	241
	142	189	241
	143	193	241
	144	187	233
	144	181	224
	137	173	214
	130	161	204
	123	146	193
	116	137	182
	110	130	173
	103	124	169
	103	124	165
	107	127	162
	111	139	179
	115	153	196
	120	173	213
	124	185	228
	130	194	244
	132	191	255
	134	190	255
	136	190	251
	137	186	239
	139	181	229
	140	173	236
	144	179	242
	150	196	249
	155	213	255
	158	225	255
	158	223	255
	158	214	255
	157	201	255
	143	181	232
	129	164	214
	115	149	204
	116	145	194
	121	148	187
	126	169	218
	133	189	247
	143	209	255
	153	210	255
	159	205	255
	150	191	245
	140	178	233
	130	165	222
	125	157	211
	121	154	206
	116	159	218
	117	166	229
	119	174	239
	122	172	232
	125	166	225
	130	156	220
	135	171	241
	142	195	255
	161	227	255
	181	254	255
	201	255	255
	206	255	255
	209	255	255
	211	255	255
	122	171	226
	127	179	236
	131	184	244
	135	184	241
	137	185	239
	138	188	236
	138	183	227
	137	177	218
	129	168	209
	121	155	199
	114	140	187
	108	128	177
	103	120	169
	98	121	168
	101	123	168
	107	127	169
	114	146	188
	119	167	207
	124	191	226
	129	194	236
	133	194	245
	134	194	254
	135	190	254
	136	185	246
	138	180	237
	139	178	233
	140	182	244
	146	194	254
	154	209	255
	162	223	255
	165	231	255
	161	231	255
	158	214	255
	154	192	247
	139	171	223
	124	155	206
	111	142	197
	113	140	188
	118	145	187
	124	167	214
	131	186	241
	139	204	255
	147	200	255
	151	193	245
	141	180	232
	132	169	223
	123	159	216
	121	158	208
	119	160	209
	117	168	224
	118	172	239
	120	174	250
	122	172	238
	126	169	224
	133	167	211
	139	183	245
	148	207	255
	169	241	255
	189	255	255
	209	255	255
	211	255	255
	211	255	255
	211	255	255
	204	255	255
	194	244	255
	119	167	221
	124	178	230
	127	179	240
	130	180	246
	133	179	241
	133	179	236
	133	180	230
	132	178	222
	130	172	213
	122	158	204
	115	145	194
	108	132	182
	104	125	172
	99	120	166
	95	118	168
	100	124	171
	107	134	177
	113	155	198
	119	173	219
	124	189	240
	130	190	243
	135	190	245
	135	190	247
	136	186	245
	138	178	241
	139	179	236
	141	182	239
	143	191	252
	150	205	255
	158	221	255
	166	234	255
	168	238	255
	161	233	255
	156	207	255
	148	180	238
	134	160	212
	120	145	198
	105	136	191
	110	133	185
	116	137	186
	122	161	209
	128	184	231
	135	205	254
	142	194	244
	142	182	235
	133	169	225
	124	163	221
	117	159	219
	118	157	216
	118	160	219
	119	168	227
	120	175	236
	121	177	242
	123	167	231
	128	160	222
	136	155	211
	143	184	249
	155	218	255
	176	255	255
	197	255	255
	218	255	255
	215	255	255
	212	255	255
	210	255	255
	200	253	255
	188	236	255
	175	210	255
	166	193	252
	121	170	226
	127	177	232
	128	177	240
	129	177	242
	130	177	237
	129	175	230
	127	173	225
	126	168	215
	122	159	205
	115	145	196
	109	135	186
	102	127	177
	99	121	168
	96	117	165
	93	116	168
	99	124	172
	105	136	181
	112	158	204
	118	173	227
	124	183	250
	130	186	248
	135	187	245
	136	186	242
	138	180	240
	139	174	238
	142	182	237
	144	190	244
	147	198	255
	153	214	255
	159	231	255
	166	248	255
	164	241	255
	155	217	255
	147	188	253
	138	163	228
	125	150	203
	113	138	191
	101	127	186
	106	131	181
	112	141	185
	117	160	203
	122	175	222
	128	185	238
	134	179	231
	134	172	224
	127	163	217
	120	159	219
	115	157	222
	116	158	225
	117	163	227
	118	171	229
	119	172	233
	120	169	233
	121	157	227
	127	153	220
	136	155	214
	145	190	253
	159	226	255
	180	255	255
	201	255	255
	220	255	255
	216	255	255
	212	255	255
	208	255	255
	195	246	255
	181	231	255
	166	209	255
	155	190	244
	146	173	229
	138	170	221
	123	172	231
	128	177	235
	128	176	239
	128	176	238
	128	175	231
	126	171	225
	123	165	219
	121	156	208
	116	145	197
	110	133	186
	103	128	179
	98	124	173
	96	117	165
	94	114	164
	92	114	167
	98	120	170
	104	132	180
	111	153	204
	118	168	228
	124	182	250
	131	187	251
	135	190	252
	137	188	252
	139	187	249
	141	187	246
	144	191	243
	148	199	251
	151	207	255
	156	224	255
	160	237	255
	165	238	255
	159	224	255
	148	201	255
	138	176	239
	127	156	216
	117	142	193
	107	132	184
	98	124	181
	102	128	178
	107	138	183
	112	156	199
	116	165	215
	121	171	226
	126	168	222
	126	163	218
	121	156	212
	117	156	218
	114	157	225
	115	161	231
	116	166	232
	117	172	230
	117	165	228
	116	156	226
	117	143	223
	124	151	219
	133	168	220
	143	199	255
	157	229	255
	177	255	255
	196	255	255
	211	255	255
	207	255	255
	203	255	255
	200	252	255
	187	238	255
	174	223	255
	161	204	252
	152	188	237
	143	174	222
	135	166	214
	131	161	206
	120	167	231
	124	174	235
	129	180	236
	128	176	237
	127	175	234
	127	176	227
	124	167	220
	121	157	212
	119	147	200
	115	140	188
	109	135	177
	104	131	173
	99	124	168
	96	115	164
	94	110	164
	92	108	166
	98	119	168
	105	134	181
	112	153	205
	119	171	229
	127	186	250
	134	197	255
	139	199	255
	140	195	255
	142	198	255
	144	200	254
	147	200	250
	150	205	255
	154	212	255
	156	226	255
	159	232	255
	162	224	255
	153	206	255
	141	186	243
	129	166	223
	118	150	203
	110	135	183
	101	128	178
	95	123	176
	99	123	175
	103	132	182
	107	148	196
	111	157	210
	114	162	220
	118	160	218
	118	155	216
	116	147	214
	114	153	219
	113	157	224
	114	162	230
	115	164	229
	116	165	226
	114	160	223
	113	154	221
	112	147	221
	120	154	220
	131	168	225
	141	198	255
	156	226	255
	174	254	255
	191	255	255
	203	255	255
	199	255	255
	195	255	255
	191	244	255
	179	229	255
	168	215	255
	156	198	245
	147	185	230
	140	173	217
	133	163	208
	128	155	200
	127	151	192
	126	145	187
	122	170	233
	126	174	234
	129	175	233
	127	171	232
	126	168	229
	125	168	225
	123	160	220
	120	152	212
	118	147	200
	114	143	188
	109	140	177
	104	132	173
	100	123	169
	97	111	166
	94	108	167
	92	109	169
	99	121	171
	107	138	184
	113	157	208
	122	177	233
	131	194	252
	139	205	255
	143	206	255
	144	201	255
	145	207	255
	147	209	255
	149	205	255
	151	208	255
	153	213	255
	154	217	255
	154	218	255
	155	212	255
	145	194	245
	133	173	225
	121	155	208
	112	141	191
	105	129	174
	98	122	173
	94	119	173
	98	124	173
	102	135	181
	105	148	194
	109	153	206
	112	157	215
	115	157	215
	115	154	215
	113	150	215
	112	155	219
	111	159	224
	112	161	228
	113	162	225
	113	161	221
	112	156	217
	111	151	217
	110	146	219
	119	156	221
	130	171	229
	140	197	255
	154	222	255
	169	247	255
	185	252	255
	193	255	255
	189	255	255
	186	246	255
	181	233	255
	171	220	255
	161	206	251
	152	190	238
	144	180	225
	137	170	213
	130	161	206
	125	153	200
	122	145	193
	119	145	192
	119	144	191
	128	146	190
	123	172	235
	126	172	232
	128	171	229
	127	166	227
	126	163	225
	125	161	223
	123	155	221
	120	152	215
	118	153	203
	114	150	191
	110	145	180
	105	133	177
	101	119	173
	98	104	170
	94	110	173
	93	118	176
	100	124	179
	108	142	195
	115	166	218
	124	188	241
	135	202	255
	145	203	255
	148	201	255
	148	198	255
	150	201	255
	150	201	255
	151	199	255
	152	203	255
	153	209	255
	151	212	255
	149	207	255
	147	195	249
	136	176	228
	124	158	209
	113	143	195
	105	132	181
	100	122	166
	95	118	168
	93	117	169
	97	123	171
	101	134	180
	105	146	192
	108	150	204
	110	153	211
	113	155	212
	112	153	214
	111	152	216
	110	156	219
	109	158	222
	110	159	226
	110	160	221
	110	158	216
	110	151	211
	110	146	213
	110	142	218
	120	160	222
	130	178	233
	140	196	253
	151	212	255
	162	227	255
	174	234	255
	179	237	255
	175	235	255
	172	229	255
	167	221	255
	158	207	255
	150	193	244
	141	178	232
	135	171	220
	130	164	210
	124	157	205
	122	152	200
	120	146	195
	119	148	197
	120	151	199
	129	156	200
	137	163	201
	145	169	203
	121	169	226
	122	170	236
	124	171	230
	125	169	226
	126	166	221
	126	162	221
	127	159	222
	126	160	223
	125	162	218
	124	165	205
	119	157	194
	114	146	185
	109	133	181
	104	123	178
	100	116	174
	96	123	179
	95	130	183
	102	136	187
	109	156	204
	116	179	226
	125	191	248
	135	198	255
	144	198	255
	147	196	255
	148	195	255
	148	196	255
	149	196	255
	149	196	255
	149	202	255
	148	206	255
	144	204	255
	141	193	251
	138	175	231
	127	158	211
	116	143	195
	105	131	183
	100	123	171
	96	117	161
	93	116	163
	92	117	166
	96	120	168
	100	132	179
	104	143	192
	106	147	204
	109	149	210
	111	151	211
	110	150	212
	109	150	214
	108	153	216
	108	155	219
	108	155	222
	107	154	217
	108	151	212
	109	143	207
	109	146	215
	111	153	225
	120	169	236
	131	185	247
	140	199	255
	147	208	255
	155	216	255
	162	220	255
	164	220	255
	161	219	255
	158	212	255
	154	205	255
	146	193	246
	138	181	235
	130	169	224
	126	163	213
	123	158	205
	119	153	202
	119	150	199
	120	147	197
	121	153	203
	125	161	208
	134	174	213
	141	179	215
	149	180	216
	153	174	217
	122	167	225
	122	168	231
	122	169	227
	123	168	223
	125	166	219
	127	163	220
	129	161	221
	130	166	223
	130	169	218
	131	173	208
	124	162	199
	118	150	190
	113	135	184
	107	127	178
	102	124	173
	97	129	180
	97	135	186
	104	143	193
	110	163	211
	117	183	232
	125	188	253
	133	191	255
	142	193	255
	143	192	255
	144	191	255
	145	192	255
	145	194	255
	143	197	255
	142	204	255
	139	203	255
	135	188	247
	130	172	232
	125	156	214
	117	144	195
	108	132	181
	99	119	172
	96	115	162
	93	113	156
	91	113	160
	92	118	163
	96	125	167
	101	140	179
	105	150	191
	107	149	204
	110	150	209
	112	151	210
	110	150	211
	109	151	212
	108	153	214
	108	154	216
	107	153	217
	105	151	212
	107	147	207
	109	142	203
	111	150	217
	114	161	234
	123	179	250
	133	193	255
	142	204	255
	146	206	255
	150	207	255
	153	207	255
	152	206	255
	148	204	255
	145	197	255
	141	188	245
	134	178	233
	127	171	223
	121	163	214
	118	158	204
	116	153	198
	114	148	197
	116	146	196
	120	147	197
	124	163	211
	130	180	225
	138	199	238
	146	198	237
	152	195	236
	149	189	234
	147	180	226
	145	168	215
	121	166	223
	121	167	226
	120	167	223
	122	167	221
	125	165	218
	129	162	219
	132	163	220
	133	172	221
	135	177	217
	136	178	211
	129	167	205
	122	154	196
	115	139	184
	110	131	173
	104	125	165
	99	126	176
	100	132	185
	105	139	194
	112	158	212
	118	176	231
	125	184	251
	132	187	255
	139	188	255
	140	188	255
	141	189	255
	142	190	255
	140	192	255
	138	193	255
	135	190	247
	131	182	238
	124	168	229
	118	157	215
	112	145	199
	107	135	183
	100	124	172
	94	114	164
	92	110	156
	91	109	153
	89	112	158
	92	119	163
	97	129	168
	102	142	180
	107	151	191
	109	150	203
	111	150	207
	112	151	208
	112	151	209
	111	152	210
	110	154	211
	108	153	212
	107	152	212
	105	150	208
	107	148	204
	111	146	200
	115	155	221
	120	167	244
	130	189	255
	139	204	255
	148	215	255
	149	208	255
	150	204	255
	150	200	255
	147	196	255
	142	190	252
	138	183	242
	133	176	232
	127	168	221
	121	162	212
	116	156	204
	114	151	195
	113	146	191
	111	140	191
	116	146	192
	121	155	199
	127	173	221
	134	191	243
	142	209	255
	150	211	255
	153	210	255
	147	201	251
	142	191	243
	137	181	233
	133	177	223
	129	171	213
	120	166	219
	120	165	221
	120	165	222
	119	167	220
	121	165	219
	126	161	218
	131	155	218
	134	160	219
	136	177	220
	138	188	218
	138	193	215
	130	170	211
	121	151	201
	112	135	184
	107	126	168
	102	119	159
	97	117	172
	100	126	184
	107	141	196
	114	161	213
	120	176	231
	126	182	249
	131	184	253
	137	186	253
	137	185	252
	138	186	250
	138	189	247
	135	187	244
	131	183	240
	127	174	230
	122	164	220
	116	153	210
	109	144	198
	103	136	185
	98	127	173
	94	120	164
	90	112	158
	89	107	152
	89	106	151
	89	112	158
	92	120	165
	98	130	172
	103	139	181
	108	145	191
	110	147	201
	112	148	204
	113	150	205
	112	152	207
	112	153	208
	111	153	209
	109	153	211
	107	153	211
	104	149	208
	108	145	205
	113	142	202
	119	161	225
	126	182	248
	136	209	255
	145	216	255
	154	215	255
	152	207	255
	150	200	255
	147	193	255
	142	186	249
	136	179	242
	130	173	232
	124	166	222
	120	159	212
	116	155	204
	112	150	196
	111	145	188
	109	140	187
	108	136	190
	116	147	193
	123	162	204
	131	182	230
	138	199	255
	145	213	255
	152	222	255
	154	221	255
	148	208	255
	143	199	255
	138	190	251
	133	182	243
	128	177	234
	123	175	223
	119	160	219
	118	161	221
	118	166	222
	122	164	224
	127	160	225
	133	161	223
	137	171	222
	139	190	221
	141	192	218
	140	186	214
	130	161	211
	119	144	200
	109	131	183
	104	120	166
	100	113	160
	95	113	173
	100	126	187
	108	145	201
	116	165	216
	123	177	231
	127	181	247
	131	182	249
	135	183	248
	134	182	248
	134	184	245
	134	189	238
	129	180	231
	124	169	224
	120	158	213
	115	150	202
	110	142	191
	105	135	182
	100	127	173
	97	121	164
	93	116	158
	90	110	153
	90	108	148
	90	108	150
	91	110	158
	95	120	167
	99	131	175
	104	140	183
	108	144	190
	111	145	199
	113	146	201
	115	147	202
	114	148	204
	113	150	206
	112	151	208
	110	152	210
	108	151	210
	107	148	208
	111	147	206
	117	147	206
	123	168	229
	131	191	253
	140	219	255
	150	220	255
	157	215	255
	152	205	255
	148	196	255
	144	186	251
	137	177	242
	130	169	233
	122	164	224
	117	158	216
	114	151	207
	110	147	199
	108	143	191
	107	139	183
	106	139	187
	106	141	194
	116	149	202
	125	164	215
	135	186	233
	141	204	253
	148	218	255
	154	216	255
	155	212	255
	150	209	251
	145	196	244
	140	184	236
	133	178	228
	127	172	221
	121	167	215
	119	158	207
	116	151	201
	120	169	225
	124	166	230
	130	164	232
	135	168	229
	139	181	225
	140	201	222
	143	188	217
	140	172	211
	129	148	205
	117	136	195
	106	128	181
	102	112	168
	97	108	167
	93	119	182
	100	133	196
	110	148	209
	119	165	222
	125	175	234
	128	181	247
	131	180	244
	133	178	241
	131	177	237
	130	175	232
	129	174	226
	123	165	220
	118	157	212
	113	148	202
	109	140	191
	105	133	181
	101	128	174
	98	122	167
	95	117	160
	92	113	155
	90	110	152
	91	108	147
	92	109	151
	93	112	159
	97	123	168
	101	134	177
	105	140	184
	109	142	192
	112	142	199
	115	145	200
	116	145	201
	115	144	202
	114	145	204
	113	148	206
	112	150	208
	111	150	209
	110	148	208
	115	153	207
	120	160	211
	126	176	234
	134	192	255
	142	209	255
	150	216	255
	155	215	255
	149	202	255
	143	191	254
	138	181	244
	132	173	235
	125	165	225
	118	159	217
	114	154	209
	111	148	201
	108	143	194
	107	139	186
	107	136	179
	107	137	188
	108	142	200
	117	154	212
	126	172	223
	135	194	236
	140	204	249
	145	208	255
	150	201	250
	149	198	244
	144	197	238
	140	184	229
	135	174	221
	129	168	212
	123	162	206
	118	154	202
	115	152	197
	113	149	194
	110	147	191
	137	169	234
	139	176	229
	139	187	224
	140	180	216
	136	168	207
	125	150	200
	115	142	190
	105	136	181
	102	121	172
	100	118	175
	97	125	190
	104	140	205
	114	156	218
	123	172	227
	127	178	236
	129	180	246
	130	176	239
	130	173	232
	127	169	225
	125	165	219
	123	160	214
	118	153	208
	113	146	200
	108	139	191
	105	133	181
	102	127	173
	99	124	168
	96	119	163
	94	113	159
	92	112	155
	91	111	151
	92	108	148
	94	111	152
	96	116	160
	99	129	169
	102	137	179
	106	139	187
	110	139	197
	113	139	204
	117	146	203
	118	146	202
	116	139	201
	115	140	200
	114	143	200
	114	148	199
	114	151	201
	114	150	205
	119	154	209
	124	161	217
	130	178	237
	136	194	255
	143	209	255
	151	210	255
	153	207	255
	146	197	255
	139	186	247
	133	176	237
	126	168	226
	120	161	218
	114	155	209
	111	150	202
	109	145	195
	106	140	188
	105	135	182
	107	131	176
	108	136	189
	111	144	205
	118	160	220
	126	179	230
	135	200	236
	137	197	243
	139	192	245
	142	183	238
	139	178	231
	134	175	224
	129	165	214
	123	157	205
	119	151	196
	115	145	192
	111	140	189
	109	141	187
	108	142	186
	138	183	218
	137	173	209
	132	160	200
	122	144	192
	112	140	185
	105	135	178
	104	124	172
	102	124	179
	101	131	195
	110	148	211
	118	164	224
	127	178	230
	129	180	237
	129	177	242
	129	172	232
	127	166	223
	124	161	214
	121	155	207
	118	148	202
	114	143	196
	111	137	189
	108	130	180
	105	128	172
